record_id,month,year,AverageTemperature,AverageTemperatureUncertainty,City,country_id,Country,Latitude,Longitude
474449,02,1859,18.598,1.029000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474450,03,1859,17.266000000000002,2.0730000000000004,Auckland,NEW,New Zealand,36.17S,175.03E
474451,04,1859,16.119999999999997,1.5419999999999985,Auckland,NEW,New Zealand,36.17S,175.03E
474452,05,1859,14.114999999999998,1.5970000000000004,Auckland,NEW,New Zealand,36.17S,175.03E
474454,07,1859,11.502,0.7180000000000004,Auckland,NEW,New Zealand,36.17S,175.03E
474455,08,1859,11.05,1.3049999999999982,Auckland,NEW,New Zealand,36.17S,175.03E
474456,09,1859,11.289,0.838000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474457,10,1859,14.064,1.1240000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474458,11,1859,14.774999999999999,1.7440000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474459,12,1859,16.342,1.8340000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474460,01,1860,18.465999999999998,2.4180000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474461,02,1860,18.78,1.7930000000000017,Auckland,NEW,New Zealand,36.17S,175.03E
474462,03,1860,17.616,1.8649999999999995,Auckland,NEW,New Zealand,36.17S,175.03E
474463,04,1860,16.724999999999998,1.1850000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474464,05,1860,14.617999999999999,0.7700000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474465,06,1860,12.964,1.5800000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474466,07,1860,11.446000000000002,0.8970000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474467,08,1860,10.816,1.8020000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474468,09,1860,11.656,1.009999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474469,10,1860,13.218999999999998,0.7239999999999982,Auckland,NEW,New Zealand,36.17S,175.03E
474470,11,1860,15.604000000000001,1.9719999999999989,Auckland,NEW,New Zealand,36.17S,175.03E
474471,12,1860,18.312999999999995,4.635999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474472,01,1861,17.762999999999998,2.5620000000000016,Auckland,NEW,New Zealand,36.17S,175.03E
474473,02,1861,20.547,3.335,Auckland,NEW,New Zealand,36.17S,175.03E
474474,03,1861,18.671,1.5430000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474475,04,1861,17.254,2.320999999999999,Auckland,NEW,New Zealand,36.17S,175.03E
474476,05,1861,15.738999999999997,2.4000000000000004,Auckland,NEW,New Zealand,36.17S,175.03E
474477,06,1861,14.299,2.449999999999998,Auckland,NEW,New Zealand,36.17S,175.03E
474478,07,1861,12.562000000000003,1.3009999999999995,Auckland,NEW,New Zealand,36.17S,175.03E
474479,08,1861,11.309000000000001,0.7849999999999981,Auckland,NEW,New Zealand,36.17S,175.03E
474480,09,1861,12.937,1.3020000000000012,Auckland,NEW,New Zealand,36.17S,175.03E
474481,10,1861,14.653,2.3490000000000006,Auckland,NEW,New Zealand,36.17S,175.03E
474482,11,1861,15.922,1.8730000000000007,Auckland,NEW,New Zealand,36.17S,175.03E
474485,02,1862,20.241999999999997,3.3060000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474486,03,1862,18.844,2.3740000000000014,Auckland,NEW,New Zealand,36.17S,175.03E
474487,04,1862,16.697,2.705,Auckland,NEW,New Zealand,36.17S,175.03E
474488,05,1862,14.190000000000001,1.4090000000000005,Auckland,NEW,New Zealand,36.17S,175.03E
474489,06,1862,12.422,1.438,Auckland,NEW,New Zealand,36.17S,175.03E
474490,07,1862,12.488,2.572000000000002,Auckland,NEW,New Zealand,36.17S,175.03E
474491,08,1862,11.951,1.7660000000000013,Auckland,NEW,New Zealand,36.17S,175.03E
474492,09,1862,13.365999999999998,2.3690000000000015,Auckland,NEW,New Zealand,36.17S,175.03E
474493,10,1862,13.328,1.6809999999999983,Auckland,NEW,New Zealand,36.17S,175.03E
474494,11,1862,15.943000000000003,2.320000000000001,Auckland,NEW,New Zealand,36.17S,175.03E
474495,12,1862,16.828,2.351,Auckland,NEW,New Zealand,36.17S,175.03E
